2025-12-15 19:20:06 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-15 19:20:06 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 18.0.2 with PID 26512 (D:\A后端\AIShuZiTouZi\backend\ruoyi-admin-wms\target\classes started by 19411 in D:\A后端\AIShuZiTouZi\backend)
2025-12-15 19:20:06 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2025-12-15 19:20:22 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-12-15 19:20:23 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-12-15 19:20:23 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-12-15 19:20:24 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@49322d04
2025-12-15 19:20:24 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-12-15 19:20:24 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-12-15 19:20:24 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2025-12-15 19:20:29 [main] INFO  c.r.common.redis.config.RedisConfig - 初始化 redis 配置
2025-12-15 19:20:29 [main] INFO  org.redisson.Version - Redisson 3.29.0
2025-12-15 19:20:30 [redisson-netty-1-4] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-15 19:20:30 [redisson-netty-1-3] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-15 19:20:33 [main] INFO  c.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2025-12-15 19:20:37 [main] INFO  io.undertow - starting server: Undertow - 2.3.13.Final
2025-12-15 19:20:37 [main] INFO  org.xnio - XNIO version 3.8.8.Final
2025-12-15 19:20:37 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.8.Final
2025-12-15 19:20:37 [main] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2025-12-15 19:20:38 [main] INFO  com.ruoyi.RuoYiApplication - Started RuoYiApplication in 33.388 seconds (process running for 35.421)
2025-12-15 19:20:38 [main] INFO  p6spy - 2025-12-15 19:20:38|137|statement|connection 0|url jdbc:mysql://127.0.0.1:3306/studyr3q1?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  oss_config_id,config_key,access_key,secret_key,bucket_name,prefix,endpoint,domain,is_https,region,status,ext1,remark,access_policy,create_by,create_time,update_by,update_time  FROM sys_oss_config|SELECT  oss_config_id,config_key,access_key,secret_key,bucket_name,prefix,endpoint,domain,is_https,region,status,ext1,remark,access_policy,create_by,create_time,update_by,update_time  FROM sys_oss_config
2025-12-15 19:20:39 [main] INFO  c.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2025-12-15 19:20:39 [main] INFO  p6spy - 2025-12-15 19:20:39|26|statement|connection 1|url jdbc:mysql://127.0.0.1:3306/studyr3q1?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  config_id,config_name,config_key,config_value,config_type,remark,create_by,create_time,update_by,update_time  FROM sys_config           ORDER BY config_id ASC|SELECT  config_id,config_name,config_key,config_value,config_type,remark,create_by,create_time,update_by,update_time  FROM sys_config           ORDER BY config_id ASC
2025-12-15 19:20:39 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2025-12-15 19:20:40 [main] INFO  p6spy - 2025-12-15 19:20:40|43|statement|connection 2|url jdbc:mysql://127.0.0.1:3306/studyr3q1?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  dict_code,dict_sort,dict_label,dict_value,dict_type,css_class,list_class,is_default,status,remark,create_by,create_time,update_by,update_time  FROM sys_dict_data      WHERE  (status = ?)|SELECT  dict_code,dict_sort,dict_label,dict_value,dict_type,css_class,list_class,is_default,status,remark,create_by,create_time,update_by,update_time  FROM sys_dict_data      WHERE  (status = '1')
2025-12-15 19:20:40 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2025-12-15 19:50:30 [XNIO-1 task-2] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-15 19:50:33 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /captchaImage],无参数
2025-12-15 19:50:33 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /captchaImage],耗时:[177]毫秒
2025-12-15 19:50:49 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.3.13.Final
